Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,104.400002,106.370003,99.379997,101.774239,102.010002,37549900
2017-01-04,103.400002,105.500000,101.529999,104.148735,104.389999,29980500
2017-01-05,104.529999,105.820000,101.050003,101.504852,101.739998,24607400
2017-01-06,102.849998,104.250000,101.199997,102.861717,103.099998,20571400
2017-01-09,103.500000,108.000000,103.500000,107.032051,107.279999,22906200
2017-01-10,107.809998,109.190002,105.629997,106.223923,106.470001,22023000
2017-01-11,106.000000,106.199997,104.150002,104.916954,105.160004,13141600
2017-01-12,104.230003,104.699997,101.620003,103.200935,103.440002,15640400
2017-01-13,103.599998,105.000000,103.059998,103.190948,103.430000,11445500
2017-01-17,103.000000,103.199997,100.570000,100.876320,101.110001,14515300
2017-01-18,100.239998,103.230003,99.110001,102.712059,102.949997,16360600
2017-01-19,103.070000,106.459999,102.980003,104.916954,105.160004,16121800
2017-01-20,106.080002,106.800003,103.120003,103.769608,104.010002,12300600
2017-01-23,103.800003,105.900002,103.699997,104.847115,105.089996,9247600
2017-01-24,105.500000,107.580002,104.900002,107.081940,107.330002,10701300
2017-01-25,109.050003,109.300003,106.330002,107.540878,107.790001,13069000
2017-01-26,107.900002,109.949997,106.699997,109.396576,109.650002,11470000
2017-01-27,109.930000,111.889999,108.849998,111.511673,111.769997,11799900
2017-01-30,110.919998,111.010002,107.910004,109.765717,110.019997,12400100
2017-01-31,108.949997,110.050003,108.199997,108.927658,109.180000,9068900
2017-02-01,110.580002,114.120003,109.860001,113.686630,113.949997,14750100
2017-02-02,113.300003,115.739998,112.059998,115.123306,115.389999,12081000
2017-02-03,115.449997,115.900002,113.900002,114.115639,114.379997,9318600
2017-02-06,114.000000,117.330002,114.000000,117.038872,117.309998,12669200
2017-02-07,118.699997,120.919998,117.900002,118.854660,119.129997,18655600
2017-02-08,118.400002,119.309998,116.379997,118.335861,118.610001,11239500
2017-02-09,118.860001,119.059998,115.599998,116.111023,116.379997,21064200
2017-02-10,119.930000,120.699997,112.599998,113.357407,113.620003,41277300
2017-02-13,113.389999,113.980003,108.199997,108.129501,108.379997,29518100
2017-02-14,107.989998,110.150002,106.290001,108.528580,108.779999,21265800
2017-02-15,108.900002,109.800003,107.760002,108.748077,109.000000,9325500
2017-02-16,109.389999,109.440002,105.660004,107.002121,107.250000,16179400
2017-02-17,106.699997,107.410004,104.790001,106.982170,107.230003,14093500
2017-02-21,108.230003,111.230003,108.220001,110.813293,111.070000,13798800
2017-02-22,111.419998,111.800003,109.989998,110.643471,110.760002,10844300
